N(bp),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64E-05,1.64E-05,0,0,0,0.003679974,0.029735502,0.099720716,0.136898308,0.059963857,0.008378512,6.57E-05,0,0,0,0,0.00116642,0.027550517,0.244915393,0.317167735,0.064415968,0.00116642,0,0,0,0,0,0,0.000246427,0.002891408,0.001905701,6.57E-05,0,0,0,0,0,0,0,1.64E-05,1.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006356191,0.045348979,0.127612761,0.095342868,0.050238357,0.014545899,0.001466813,0,0,0,0,0.000733407,0.009534287,0.08495294,0.312431243,0.2271116,0.016746119,0,0,0,0,0,0,0,0.001711282,0.004889378,0.000977876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007680492,0.076804916,0.133640553,0.067588326,0.047619048,0.004608295,0.003072197,0.001536098,0,0.010752688,0.012288786,0.004608295,0,0.015360983,0.153609831,0.313364055,0.107526882,0.006144393,0,0.003072197,0.01843318,0.001536098,0,0,0,0.007680492,0.003072197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004291845,0,0,0,0,0,0,0.010014306,0.078683834,0.154506438,0.021459227,0,0.001430615,0,0,0.067238913,0.204577969,0.120171674,0.050071531,0.001430615,0.00286123,0.008583691,0.017167382,0.00286123,0,0.012875536,0.141630901,0.092989986,0.00286123,0,0,0,0.001430615,0,0,0,0.00286123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003998401,0,0,0,0,0,0.00013328,0.003332001,0.041849927,0.136345462,0.011595362,0.00013328,0,0,0.00026656,0.019592163,0.140876983,0.276156204,0.147807544,0.017726243,0.00026656,0,0,0,0,0.00039984,0.050379848,0.12794882,0.019592163,0.00013328,0,0,0,0,0,0,0.00026656,0.00119952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000775044,0,0,0,0,4.84E-05,0.000242201,0.005328425,0.033133114,0.084124524,0.01432216,3.23E-05,0,0,0,0.002018343,0.057563134,0.286523929,0.318768972,0.056901117,0.001695408,3.23E-05,0,0,0,1.61E-05,0.008186398,0.079393528,0.049037654,0.001582381,0,0,0,0,0,0,0,9.69E-05,0.000161467,1.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192734,1.61E-05,0,0,0,1.28E-05,0.000436864,0.003963895,0.026552311,0.056162667,0.015293437,0.000195946,0,0,0,0.000186309,0.017802191,0.194696605,0.424878738,0.149240307,0.00741062,4.50E-05,0,0,0,3.21E-06,0.000812695,0.025411969,0.065834699,0.010629276,9.96E-05,0,0,0,0,0,3.21E-06,2.89E-05,6.75E-05,2.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95E-05,2.05E-05,0,0,0,1.69E-05,0.000596787,0.003771597,0.020850095,0.042228118,0.01608184,0.000548464,2.42E-06,0,0,3.14E-05,0.004379257,0.097224336,0.416138136,0.286990526,0.026570311,0.000329803,0,0,0,0,7.01E-05,0.005404909,0.047573831,0.029509547,0.001539082,7.25E-06,0,0,0,0,0,2.42E-06,2.78E-05,3.26E-05,1.21E-06,0,0,0,0,0,0,0,0,1.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31E-05,1.78E-05,8.89E-07,0,8.89E-07,2.31E-05,0.000642045,0.004720186,0.01668872,0.033670007,0.016533989,0.001220063,6.22E-06,0,0,8.89E-06,0.00114003,0.041007281,0.310791511,0.417455439,0.080524165,0.00202751,2.67E-06,0,0,0,7.11E-06,0.000947061,0.019790455,0.043673279,0.008848125,0.000138724,0,0,0,0,0,0,7.11E-06,5.60E-05,2.49E-05,0,0,0,0,0,0,0,0,8.89E-07,1.78E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-05,1.25E-05,2.49E-06,0,0,2.12E-05,0.0010263,0.006646041,0.015256251,0.028973052,0.017393546,0.002173415,3.24E-05,0,0,1.25E-06,0.000443402,0.016681115,0.190747356,0.450239387,0.187333413,0.011449973,0.000109605,0,0,0,0,0.000124551,0.00539804,0.037416364,0.02651317,0.001837127,1.99E-05,0,0,0,0,1.25E-06,1.25E-06,3.49E-05,7.72E-05,1.87E-05,0,0,0,0,0,0,0,1.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26E-06,1.63E-05,3.26E-06,0,0,2.28E-05,0.001936733,0.010104271,0.018705454,0.025617701,0.017499071,0.003407216,0.000114117,6.52E-06,0,3.26E-06,9.13E-05,0.006592719,0.103797823,0.380685486,0.30624189,0.046925028,0.001004232,3.26E-06,3.26E-06,3.26E-06,0,9.78E-06,0.00138897,0.01960861,0.04357324,0.012109474,0.000280402,0,0,0,0,0,0,1.30E-05,0.000117378,0.000104336,3.26E-06,0,0,0,0,0,0,0,0,0,3.26E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51E-05,0,7.52E-05,0.003732129,0.017306245,0.026982694,0.021414597,0.017863055,0.005161776,0.000722348,1.50E-05,0,0,3.01E-05,0.003551543,0.054582393,0.266275395,0.350353649,0.130037622,0.008939052,0.000105342,0,0.000210685,0,0,0.000316027,0.007825433,0.040210685,0.038991723,0.004620015,1.50E-05,0,0,0,0,0,0,4.51E-05,0.000451467,7.52E-05,0,0,0,0,0,0,0,0,4.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010352,0.000310559,0,0.000310559,0.007763975,0.036956522,0.042753623,0.022877847,0.017598344,0.010869565,0.001449275,0.00010352,0,0.00010352,0,0.003312629,0.031055901,0.149275362,0.272153209,0.206625259,0.051138716,0.001656315,0.00010352,0.004451346,0.004451346,0.000207039,0.00010352,0.002173913,0.027846791,0.067805383,0.032608696,0.001449275,0,0,0.00010352,0,0,0,0.00010352,0.000621118,0.001242236,0,0,0,0,0,0,0,0,0,0.000310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001999,0,0,0,0,0,0.007996002,0.048975512,0.056971514,0.091454273,0.015992004,0.008995502,0.003498251,0.00149925,0.00149925,0.003498251,0.006496752,0.009995002,0.017991004,0.051974013,0.103948026,0.115442279,0.083958021,0.012993503,0.0009995,0.042478761,0.129435282,0.056971514,0.0009995,0,0.005997001,0.035482259,0.058470765,0.010494753,0,0.00149925,0.003498251,0.001999,0.0009995,0,0,0.0009995,0.003998001,0.00049975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003261579,0,0,0,0,0,0.000326158,0.00456621,0.043052838,0.164057404,0.036366601,0.000326158,0.000326158,0.000163079,0.000163079,0.008969341,0.021689498,0.06099152,0.062296151,0.017612524,0.002772342,0.001956947,0.005218526,0.002446184,0.000163079,0.018427919,0.221950424,0.262393999,0.03652968,0.000652316,0,0.000652316,0.002935421,0.002609263,0,0,0.003750815,0.011741683,0.001304631,0.000163079,0,0,0.000163079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131314,2.92E-05,0,0,2.92E-05,0,8.75E-05,0.001925939,0.031106831,0.109807698,0.035075433,0.000525256,0,0,2.92E-05,0.003793516,0.021681403,0.098689778,0.136800023,0.051620999,0.004639762,8.75E-05,0,0.000262628,8.75E-05,0.001604949,0.070909568,0.278035542,0.131022207,0.008812629,5.84E-05,0,5.84E-05,0.000291809,0,0,0.000583618,0.005836178,0.004698124,0.000350171,0,0,0,0,0,0,0,2.92E-05,0.000116724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570207,0.000122187,0,0,6.79E-06,6.79E-06,0.000108611,0.001764925,0.022557106,0.068268676,0.028537488,0.000739911,0,0,0,0.000943556,0.01420765,0.096846893,0.195764179,0.108956997,0.013284458,0.000135763,0,6.79E-06,6.79E-06,0.000135763,0.01420765,0.153419543,0.223459933,0.045195669,0.001282965,0,1.36E-05,0,0,6.79E-06,8.82E-05,0.001737773,0.006027899,0.001493398,1.36E-05,0,0,0,0,0,0,6.79E-06,4.75E-05,2.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160688,6.34E-05,0,0,0,9.05E-06,0.000160688,0.001505039,0.014769752,0.041864981,0.022525795,0.001466564,2.26E-06,0,2.26E-06,0.0001969,0.007278505,0.071755283,0.219317006,0.175483027,0.032954697,0.000909813,2.26E-06,0,0,6.79E-06,0.001978051,0.052843845,0.217130739,0.122139011,0.008923863,8.15E-05,0,0,0,0,2.26E-06,0.000432274,0.003044026,0.002754335,0.00019011,0,0,0,0,0,0,0,2.26E-05,2.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,7.25E-05,1.25E-06,0,2.50E-06,2.75E-05,0.000366464,0.001913617,0.011086472,0.027927553,0.018238147,0.002057451,2.13E-05,0,1.25E-06,6.63E-05,0.003349455,0.045555343,0.194664886,0.233640137,0.067415604,0.003782208,2.00E-05,0,0,1.25E-06,0.000265155,0.013646716,0.131879485,0.198181939,0.039192879,0.001116902,6.25E-06,0,0,0,0,5.75E-05,0.001111899,0.003280665,0.000914284,2.75E-05,0,0,0,0,0,0,3.75E-06,2.38E-05,2.38E-05,1.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19E-06,4.33E-05,4.68E-06,0,2.34E-06,5.15E-05,0.000636193,0.00274475,0.009244673,0.020088014,0.015048761,0.002778665,6.78E-05,1.17E-06,0,1.75E-05,0.001397519,0.027186707,0.152427765,0.256152883,0.120415817,0.012478262,0.000188285,0,0,0,3.39E-05,0.002975136,0.057052674,0.200196003,0.105630187,0.007986322,9.71E-05,0,0,0,0,9.36E-06,0.000284182,0.002404434,0.002071134,0.000223369,3.51E-06,0,0,0,0,0,0,7.02E-06,3.16E-05,7.02E-06,0,0,0,0,0,0,0,0,1.17E-06,1.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-06,2.96E-05,5.55E-06,1.85E-06,3.70E-06,4.81E-05,0.001184793,0.004417557,0.009925641,0.015189742,0.012300771,0.003090442,0.000173745,5.55E-06,0,7.39E-06,0.000552657,0.016590792,0.110936134,0.242015589,0.173802223,0.034020735,0.001301239,1.48E-05,1.85E-06,0,7.39E-06,0.000645074,0.019588816,0.134421272,0.177515558,0.03587463,0.000990716,5.55E-06,0,1.85E-06,0,0,3.70E-05,0.001014744,0.003138499,0.001035076,4.25E-05,0,0,0,0,0,0,3.70E-06,2.03E-05,2.59E-05,1.85E-06,0,0,0,0,0,0,0,1.85E-06,0,1.85E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-05,9.43E-06,4.71E-06,4.71E-06,8.49E-05,0.002498857,0.008335809,0.012772458,0.013210937,0.009208051,0.004200908,0.00040076,2.83E-05,0,9.43E-06,0.000377186,0.010504628,0.079190182,0.200040547,0.204071722,0.071481445,0.006374442,0.000122585,4.24E-05,4.71E-05,9.43E-06,0.000132015,0.00576623,0.067638863,0.187362386,0.099930692,0.008901587,0.000122585,9.43E-06,4.24E-05,4.71E-05,0,9.43E-06,0.000353612,0.002659161,0.003371099,0.000447908,1.89E-05,0,0,0,0,0,0,2.36E-05,7.54E-05,1.89E-05,0,0,0,0,0,0,0,0,0,9.43E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0.000124491,3.56E-05,0,0.00016006,0.005673229,0.019189386,0.020025254,0.013391666,0.006900354,0.004250476,0.000640239,0.000142275,0,3.56E-05,0.000124491,0.009212328,0.05906205,0.148553238,0.183570755,0.110547938,0.024755909,0.001458322,0.000177844,0.000675808,0.000391257,3.56E-05,0.001796226,0.025022675,0.13048427,0.170943819,0.047093137,0.002578741,5.34E-05,0.000337904,0.000746946,0.00016006,1.78E-05,5.34E-05,0.00168952,0.006420175,0.003023351,0.000142275,0,0,0,0,0,0,0.000106707,7.11E-05,7.11E-05,1.78E-05,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000474158,7.90E-05,0.000158053,7.90E-05,0,0.000158053,0.009878299,0.03769559,0.036352142,0.027975344,0.005768927,0.003793267,0.000395132,0.000632211,7.90E-05,7.90E-05,0.000237079,0.007744587,0.045835309,0.096333175,0.11814446,0.104868026,0.052236447,0.009562194,0.00086929,0.00766556,0.016516517,0.005136716,0.000790264,0.00766556,0.055950688,0.159080133,0.12320215,0.021495179,0.000474158,0.002449818,0.013829619,0.007191402,0.000158053,0,0.000474158,0.006401138,0.008613877,0.002607871,0,0,7.90E-05,7.90E-05,7.90E-05,0,0,7.90E-05,0.000316106,7.90E-05,0,0,0,0,0,0,0,0,7.90E-05,0,7.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002041411,0,0,0,0,0,0.005832604,0.025809274,0.039370079,0.120151648,0.041557305,0.001312336,0.00029163,0.000145815,0.000437445,0.000729076,0.003062117,0.010061242,0.034412365,0.036745407,0.023767862,0.02055993,0.018664334,0.007728201,0.001895596,0.031933508,0.13050452,0.087489064,0.018664334,0.002624672,0.005395159,0.029163021,0.066783319,0.036453777,0.003207932,0.002770487,0.055555556,0.10221639,0.018955964,0.00029163,0,0.001166521,0.006415865,0.003645378,0,0,0.00058326,0.001166521,0.000145815,0,0,0,0,0.000145815,0,0,0,0,0.000145815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002256229,9.81E-05,0,0,0,0,0.000196194,0.002893859,0.017706494,0.109034726,0.051991367,0.001324308,0,4.90E-05,0.000196194,0.001618599,0.005983912,0.023298018,0.063713949,0.054738081,0.011035903,0.000931921,0.000784775,0.000686678,0.000441436,0.010594467,0.105552286,0.205071611,0.10923092,0.01559741,0.000539533,0.000784775,0.003923877,0.004708652,0.000833824,0.000539533,0.022169904,0.105356092,0.059642927,0.003090053,0,4.90E-05,0.000441436,0.000539533,0.000196194,0,0.000196194,0.000882872,0.000784775,0.000245242,0,0,0,4.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
