HU/50bp,2HU even,2HU uneven,3HU equilateral,3HU isosceles,3HU scalene,4HU or more
100,8.33E-05,0.170020445,0.27233383,0.163770306,0.131875153,2.62E-01
101,0.000824158,0.089487044,0.149123096,0.113865629,0.102129624,5.45E-01
102,0.037639095,0.040510743,0.078481888,0.016055445,0.070582404,7.57E-01
103,0.402339181,0.082321188,0.006487459,0.029734188,0.02378735,4.55E-01
104,0.761830325,0.121017479,5.68E-05,0.048372886,0.009663209,5.91E-02
105,0.697612676,0.18062699,0,0.076218567,0.019498747,2.60E-02
106,0.662130314,0.148236814,0,0.117128299,0.043261693,2.92E-02
107,0.516076544,0.167896178,0,0.209786424,0.071952024,3.43E-02
108,0.416566834,0.111582922,0,0.30687614,0.111029815,5.39E-02
109,0.27612942,0.098888689,0,0.355313648,0.174080527,9.56E-02
110,0.200136153,0.054818483,0,0.357935508,0.192606053,1.95E-01
111,0.110273309,0.040249463,0,0.297475237,0.165675279,3.86E-01
112,0.060817964,0.022037007,0,0.162870816,0.116602562,6.38E-01
113,0.018714118,0.097440289,0,0.068195515,0.06559457,7.50E-01
114,0.00635616,0.48701835,0,0.027220167,0.054871261,4.25E-01
115,0.000310816,0.76641076,0,0.044103935,0.061509293,1.28E-01
116,0.000135055,0.76961043,0,0.093371312,0.064347015,7.25E-02
117,9.35E-06,0.691259921,0,0.175886021,0.067880748,6.50E-02
118,2.14E-05,0.569253285,0,0.285125521,0.074130969,7.15E-02
119,0,0.432603474,0,0.38021403,0.084842049,1.02E-01
120,7.84E-05,0.303516827,0,0.427649061,0.094063438,1.75E-01
121,0.0001621,0.19828728,0,0.40302616,0.094738052,3.04E-01
122,0.003081439,0.11042797,0,0.294613323,0.085666927,5.06E-01
123,0.016853466,0.053480006,1.38E-05,0.158060053,0.067995019,7.04E-01
124,0.133449358,0.047054274,0.000558635,0.070022775,0.048236002,7.01E-01
125,0.368695348,0.112288103,0.005484634,0.056283688,0.050515366,4.07E-01
126,0.491638284,0.173562691,0.018047125,0.050193567,0.077694403,1.89E-01
127,0.478944432,0.188297457,0.04295837,0.04350814,0.126110992,1.20E-01
128,0.415947762,0.181126389,0.078932835,0.037656579,0.180826923,1.06E-01
129,0.331887674,0.150825809,0.109843757,0.042388995,0.244588706,1.20E-01
130,0.245595169,0.116517923,0.148689706,0.031581109,0.288505845,1.69E-01
131,0.168957631,0.080942247,0.154600569,0.029100349,0.306801484,2.60E-01
132,0.110915274,0.050615643,0.11534288,0.036635281,0.27290247,4.14E-01
133,0.055894326,0.03393876,0.076010724,0.025772859,0.204809626,6.04E-01
134,0.028878473,0.057169376,0.030611735,0.023411915,0.126246844,7.34E-01
135,0.007603849,0.19959321,0.006493839,0.029824717,0.084545091,6.72E-01
136,0.002819632,0.431592463,0.000805684,0.05573065,0.079372431,4.30E-01
137,0.000382967,0.563220003,6.25E-05,0.10479875,0.086658851,2.45E-01
138,0.000409688,0.558487286,0,0.170004292,0.093627461,1.77E-01
139,6.74E-05,0.486619801,0,0.243046221,0.106212288,1.64E-01
140,0.00033583,0.387434325,0,0.302678842,0.119713143,1.90E-01
141,0.000197708,0.283731363,0,0.329179354,0.132141472,2.55E-01
142,0.001386467,0.189230903,0,0.308919173,0.13146276,3.69E-01
143,0.00342335,0.114084551,0,0.24069218,0.115555277,5.26E-01
144,0.018249241,0.061863334,0,0.147468512,0.092479803,6.80E-01
145,0.057795825,0.047240685,0,0.084558135,0.070281782,7.40E-01
146,0.158997075,0.081948072,0,0.066835574,0.067100413,6.25E-01
147,0.249455198,0.139976862,0,0.082457615,0.086194454,4.42E-01
148,0.294599885,0.179374321,0,0.117417133,0.106478024,3.02E-01
149,0.278995787,0.179651542,0,0.1674555,0.13056402,2.43E-01
