HU/100bp,2HU even,2HU uneven,3HU equilateral,3HU isosceles,3HU scalene,4HU or more
100,0.000394274,0.424087104,0.232120238,0.14030945,0.123051327,0.080037607
101,0.003134815,0.324694521,0.179462456,0.133180668,0.138604315,0.220923225
102,0.163522417,0.187132605,0.126637555,0.025327511,0.118340611,0.379039301
103,0.684309525,0.151279109,0.003721245,0.02232747,0.01691475,0.121447901
104,0.838202115,0.13035176,0.000132127,0.016449759,0.003171038,0.011693201
105,0.769158496,0.192943058,0,0.026553533,0.007197106,0.004147807
106,0.764265047,0.163597351,0,0.048606044,0.017679071,0.005852487
107,0.651485728,0.209424376,0,0.098319651,0.034361268,0.006408977
108,0.604720202,0.161951361,0,0.16211067,0.060440955,0.010776812
109,0.474893599,0.168234425,0,0.222994389,0.111920641,0.021956946
110,0.417575743,0.113459889,0,0.265608829,0.148013027,0.055342512
111,0.300907308,0.112366646,0,0.288266007,0.165055805,0.133404234
112,0.232801044,0.083760169,0,0.216992147,0.150287154,0.316159486
113,0.073302274,0.347291873,0,0.092249274,0.096939915,0.390216664
114,0.01552306,0.833183352,0,0.014510686,0.036445444,0.100337458
115,0.000306311,0.931967453,0,0.017765375,0.028009393,0.021951468
116,0.000257696,0.919393905,0,0.04148843,0.026568056,0.012291913
117,6.97E-06,0.875479875,0,0.082764915,0.029994356,0.011753884
118,7.36E-05,0.802536985,0,0.143850754,0.038413495,0.015125166
119,2.21E-05,0.69936171,0,0.225161787,0.051744086,0.023710317
120,0.000160941,0.578381116,0,0.311818526,0.065292788,0.044346629
121,0.000420928,0.468633076,0,0.35719348,0.079152865,0.094599651
122,0.01033158,0.358397673,0,0.336532892,0.093066899,0.201670956
123,0.07172469,0.242553332,0.000179485,0.225433007,0.098267971,0.361841515
124,0.441371452,0.151439818,0.000414666,0.079097523,0.050692908,0.276983633
125,0.645537642,0.202318799,0.003413146,0.029684025,0.032166313,0.086880075
126,0.669820813,0.228695714,0.008935652,0.020927219,0.03611009,0.035510512
127,0.634519621,0.243196408,0.022560841,0.019521297,0.058814678,0.021387155
128,0.584448871,0.24608815,0.040183008,0.018029761,0.089658377,0.021591833
129,0.518481072,0.230560418,0.062545315,0.023392864,0.139168112,0.025852219
130,0.451917482,0.205157366,0.093178455,0.020338981,0.187560321,0.041847395
131,0.375695173,0.171343011,0.115097698,0.022070853,0.24323212,0.072561145
132,0.318022963,0.133524562,0.108989658,0.035932113,0.256942077,0.146588627
133,0.213173931,0.120408406,0.101054117,0.030502988,0.260790173,0.274070385
134,0.12935531,0.226163155,0.051324849,0.034355658,0.17191738,0.386883648
135,0.023665432,0.604818124,0.009540547,0.031195079,0.0908235,0.239957318
136,0.006665283,0.79949603,0.000675717,0.039160882,0.052091652,0.101910436
137,0.000526904,0.846192051,0,0.060607885,0.047811884,0.044861276
138,0.000618842,0.820704172,0,0.092363395,0.050855285,0.035458306
139,7.77E-05,0.770111696,0,0.136626799,0.05973142,0.033452385
140,0.000486862,0.691461837,0,0.187961381,0.076237592,0.043852328
141,0.000435926,0.597820395,0,0.237811683,0.09652136,0.067410636
142,0.003940121,0.490008979,0,0.2678035,0.118194328,0.120053072
143,0.010879883,0.3797493,0,0.271721452,0.13032309,0.207326275
144,0.077695914,0.260884126,0,0.20552666,0.125518217,0.330375083
145,0.236372565,0.194248922,0,0.120205162,0.095596661,0.35357669
146,0.443327304,0.226617132,0,0.064117561,0.061449042,0.204488961
147,0.500312103,0.279601369,0,0.061958114,0.059051809,0.099076605
148,0.500874135,0.298497121,0,0.072095153,0.06468142,0.063852171
149,0.46451086,0.307159443,0,0.10168767,0.077463597,0.04917843
