N(bp),J(1HU/50),2HUpro,3HUpro,4HUpro,2HUconfig,3HUconfig,4HUconfig
80,2.23E-07,0.089645587,0.187282835,0.723071577,2.58E+02,5.39E+02,2.08E+03
81,3.62E-08,0.233404711,0.04496788,0.721627409,1.09E+02,2.10E+01,3.37E+02
82,2.04E-07,0.993909402,0.002283974,0.003806624,2.61E+03,6.00E+00,1.00E+01
83,1.91E-06,0.991590835,0.008246669,0.000162496,2.44E+04,2.03E+02,4.00E+00
84,1.15E-05,0.969342889,0.030260451,0.000389937,1.44E+05,4.50E+03,5.80E+01
85,3.36E-05,0.905975164,0.092624515,0.001395699,3.92E+05,4.01E+04,6.04E+02
86,5.86E-05,0.779147194,0.217484412,0.00336707,5.89E+05,1.64E+05,2.55E+03
87,5.81E-05,0.584043418,0.406249541,0.009705707,4.38E+05,3.05E+05,7.28E+03
88,3.60E-05,0.409674812,0.556262867,0.034060166,1.90E+05,2.58E+05,1.58E+04
89,1.29E-05,0.264939724,0.610866019,0.12418222,4.40E+04,1.02E+05,2.06E+04
90,3.29E-06,0.159783967,0.47852645,0.361689583,6.78E+03,2.03E+04,1.53E+04
91,7.43E-07,0.065108514,0.284536728,0.650146077,6.24E+02,2.73E+03,6.23E+03
92,2.31E-07,0.391406512,0.072843236,0.535750252,1.17E+03,2.17E+02,1.60E+03
93,8.10E-07,0.953726768,0.022322284,0.023950948,9.96E+03,2.33E+02,2.50E+02
94,4.70E-06,0.95502073,0.041312212,0.003667058,5.78E+04,2.50E+03,2.22E+02
95,1.68E-05,0.899705588,0.095563456,0.004726327,1.94E+05,2.07E+04,1.02E+03
96,3.81E-05,0.780207729,0.211127049,0.008661153,3.84E+05,1.04E+05,4.26E+03
97,5.61E-05,0.601506566,0.381512761,0.016977908,4.35E+05,2.76E+05,1.23E+04
98,5.39E-05,0.42106521,0.539652032,0.039278439,2.93E+05,3.75E+05,2.73E+04
99,3.35E-05,0.276482938,0.620169068,0.103327138,1.19E+05,2.68E+05,4.46E+04
100,1.40E-05,0.17010378,0.567979288,0.261822485,3.06E+04,1.02E+05,4.72E+04
101,4.71E-06,0.090311202,0.365118349,0.544191336,5.48E+03,2.22E+04,3.30E+04
102,1.51E-06,0.078149838,0.165119737,0.754012615,1.52E+03,3.22E+03,1.47E+04
103,8.62E-07,0.484660369,0.060008997,0.452271705,5.39E+03,6.67E+02,5.03E+03
104,2.73E-06,0.882847804,0.058092937,0.058831889,3.11E+04,2.05E+03,2.07E+03
105,9.26E-06,0.878239666,0.095717314,0.025975985,1.05E+05,1.14E+04,3.10E+03
106,2.37E-05,0.810367128,0.160389992,0.029203684,2.48E+05,4.91E+04,8.95E+03
107,4.05E-05,0.683972722,0.281738448,0.034244833,3.58E+05,1.47E+05,1.79E+04
108,4.95E-05,0.528149756,0.417905954,0.053861183,3.37E+05,2.67E+05,3.44E+04
109,4.18E-05,0.375018109,0.529394175,0.095377838,2.02E+05,2.85E+05,5.14E+04
110,2.54E-05,0.254954636,0.55054156,0.193890198,8.36E+04,1.80E+05,6.35E+04
111,1.18E-05,0.150522771,0.463150516,0.38444657,2.30E+04,7.07E+04,5.87E+04
112,5.20E-06,0.08285497,0.279473378,0.633109186,5.56E+03,1.88E+04,4.25E+04
113,2.45E-06,0.116154407,0.133790085,0.740412979,3.66E+03,4.22E+03,2.34E+04
114,2.16E-06,0.493374511,0.082091428,0.416526017,1.37E+04,2.29E+03,1.16E+04
115,4.99E-06,0.766721576,0.105613228,0.125365202,4.94E+04,6.80E+03,8.07E+03
116,1.26E-05,0.769745485,0.157718327,0.071885474,1.25E+05,2.57E+04,1.17E+04
117,2.49E-05,0.69126927,0.243766769,0.064484062,2.22E+05,7.83E+04,2.07E+04
118,3.63E-05,0.56927465,0.35925649,0.070992415,2.67E+05,1.68E+05,3.32E+04
119,3.91E-05,0.432603474,0.465056079,0.101443176,2.18E+05,2.34E+05,5.11E+04
120,3.17E-05,0.303595229,0.521712499,0.172972324,1.24E+05,2.13E+05,7.06E+04
121,1.96E-05,0.198449379,0.497764212,0.299567866,5.02E+04,1.26E+05,7.58E+04
122,1.06E-05,0.113509409,0.38028025,0.496966024,1.56E+04,5.21E+04,6.81E+04
123,5.61E-06,0.070333472,0.226068908,0.68547115,5.09E+03,1.63E+04,4.96E+04
124,3.61E-06,0.180503631,0.118817412,0.675862662,8.41E+03,5.53E+03,3.15E+04
125,4.10E-06,0.480983452,0.112283688,0.388898345,2.54E+04,5.94E+03,2.06E+04
126,8.11E-06,0.665200975,0.145935095,0.180691105,6.96E+04,1.53E+04,1.89E+04
127,1.52E-05,0.667241888,0.212577502,0.116204962,1.31E+05,4.18E+04,2.28E+04
128,2.47E-05,0.597074151,0.297416337,0.102615056,1.90E+05,9.48E+04,3.27E+04
129,3.06E-05,0.482713483,0.396821458,0.117429316,1.91E+05,1.57E+05,4.64E+04
130,3.04E-05,0.362113093,0.46877666,0.16421372,1.42E+05,1.84E+05,6.43E+04
131,2.34E-05,0.249899877,0.490502401,0.251389307,7.55E+04,1.48E+05,7.60E+04
132,1.56E-05,0.161530917,0.424880631,0.397904873,3.25E+04,8.54E+04,8.00E+04
133,9.49E-06,0.089833085,0.306593209,0.574702872,1.10E+04,3.75E+04,7.03E+04
134,6.21E-06,0.086047849,0.180270493,0.68998275,6.89E+03,1.44E+04,5.52E+04
135,4.96E-06,0.207197059,0.120863647,0.620433388,1.33E+04,7.73E+03,3.97E+04
136,6.16E-06,0.434412094,0.135908765,0.391802928,3.45E+04,1.08E+04,3.11E+04
137,9.92E-06,0.56360297,0.191520125,0.224157874,7.22E+04,2.45E+04,2.87E+04
138,1.59E-05,0.558896974,0.263631752,0.164278468,1.15E+05,5.41E+04,3.37E+04
