105,3,205948,155044,32, 33, 40
105,3,975438,165050,24, 40, 41
105,3,523223,195057,24, 40, 41
105,3,567672,205054,31, 32, 42
105,3,536054,200059,32, 32, 41
105,3,862416,70070,30, 32, 43
105,3,238059,70070,32, 32, 41
105,3,37249,50073,24, 40, 41
105,3,689496,165096,23, 40, 42
105,3,94293,145101,23, 41, 41
105,3,532862,40155,32, 32, 41
105,3,742289,40155,32, 32, 41
105,3,803080,40155,32, 32, 41
105,3,510914,40155,32, 32, 41
105,3,962245,75174,24, 40, 41
105,3,333153,15194,31, 32, 42
105,3,479899,185194,31, 32, 42
105,3,728206,185194,31, 32, 42
105,3,824430,20228,32, 32, 41
105,3,185997,35237,32, 33, 40
105,3,196680,210242,23, 41, 41
105,3,161705,241,23, 41, 41
105,3,809033,105255,31, 33, 41
105,3,707122,140274,23, 41, 41
105,3,833915,125275,23, 41, 41
105,3,114045,125275,23, 41, 41
105,3,659064,85258,31, 32, 42
105,3,401305,145285,23, 41, 41
105,3,801711,195281,22, 41, 42
105,3,527492,145285,24, 40, 41
105,3,172096,145285,23, 41, 41
105,3,711126,100260,23, 41, 41
105,3,84053,105314,32, 33, 40
105,3,812912,235320,30, 33, 42
105,3,251550,235351,31, 32, 42
105,3,807772,180377,23, 41, 41
105,3,475719,200394,32, 32, 41
105,3,375927,125406,31, 32, 42
105,3,57801,10423,32, 32, 41
105,3,150060,170438,32, 32, 41
105,3,498596,100436,31, 32, 42
105,3,360009,190493,14, 40, 51
105,3,475378,175522,24, 40, 41
105,3,511604,185488,24, 29, 52
105,3,538793,75484,23, 40, 42
105,3,746545,100474,24, 30, 51
105,3,583523,165523,31, 32, 42
105,3,870687,55515,23, 41, 41
105,3,883946,105538,32, 32, 41
105,3,238059,120568,32, 32, 41
105,3,965513,80526,31, 33, 41
105,3,303914,120572,23, 40, 42
105,3,455603,25588,31, 33, 41
105,3,575778,10544,32, 32, 41
105,3,767976,30610,24, 40, 41
105,3,980203,95600,23, 41, 41
105,3,524773,160637,32, 32, 41
105,3,518309,160679,23, 40, 42
105,3,40104,160679,24, 40, 41
105,3,393482,165698,30, 32, 43
105,3,591460,115660,23, 40, 42
105,3,870814,165725,31, 32, 42
105,3,870687,210735,23, 41, 41
105,3,634596,95699,23, 40, 42
105,3,307907,210741,31, 31, 43
105,3,723336,105736,23, 41, 41
105,3,583523,165745,31, 32, 42
105,3,476155,185733,31, 32, 42
105,3,695483,60737,23, 40, 42
105,3,457047,60737,23, 41, 41
105,3,372413,115725,23, 41, 41
105,3,304627,75766,30, 33, 42
105,3,985223,15795,23, 30, 52
105,3,242349,225838,30, 32, 43
105,3,266755,225838,32, 32, 41
105,3,802710,225838,32, 32, 41
105,3,440375,140767,30, 33, 42
105,3,659896,225838,30, 32, 43
105,3,700407,225838,32, 32, 41
105,3,20110,15815,24, 40, 41
105,3,583523,220774,31, 32, 42
105,3,924268,25839,31, 32, 42
105,3,921979,180867,32, 32, 41
105,3,390295,85831,32, 33, 40
105,3,104500,30834,23, 41, 41
105,3,791173,145843,31, 32, 42
105,3,75440,215887,23, 41, 41
105,3,320941,90883,31, 32, 42
105,3,285721,215890,22, 41, 42
105,3,476155,35901,31, 32, 42
105,3,884616,110884,23, 40, 42
105,3,68261,110886,23, 41, 41
105,3,581971,235956,23, 41, 41
105,3,713036,100891,31, 32, 42
105,3,944007,10911,24, 29, 52
105,3,392406,235990,30, 34, 41
