Sequence,Lac,Proteins,Orientation,Seed1,Seed2,Energy,nProteins,Tw,Wr,Lk,Angle
105,minicircle,HU+87,MC,140482,230124,322.464,2,9.853,0.147,10.000,0.000
105,minicircle,HU+87,MC,325036,95057,301.785,2,10.162,-0.162,10.000,0.000
105,minicircle,HU+87,MC,607097,50060,294.017,2,10.071,-0.071,10.000,0.000
105,minicircle,HU+87,MC,713896,200049,301.886,2,10.183,-0.183,10.000,0.000
105,minicircle,HU+87,MC,895680,105129,277.207,2,9.933,0.067,10.000,0.000
105,minicircle,HU+87,MC,663468,160062,296.861,2,9.946,0.054,9.000,0.000
105,minicircle,HU+87,MC,534792,100080,300.873,2,9.828,0.172,10.000,0.000
105,minicircle,HU+87,MC,623563,60050,314.514,2,9.990,0.010,9.000,0.000
105,minicircle,HU+87,MC,8229,130071,351.480,2,9.837,0.163,10.000,0.000
105,minicircle,HU+87,MC,243915,185067,311.994,2,9.913,0.087,10.000,0.000
105,minicircle,HU+87,MC,635896,235101,302.179,2,9.975,0.025,10.000,0.000
105,minicircle,HU+87,MC,393439,120074,346.983,2,10.042,-0.042,10.000,0.000
105,minicircle,HU+87,MC,437452,180082,300.090,2,9.946,0.054,10.000,0.000
105,minicircle,HU+87,MC,539547,65145,310.509,2,9.959,0.041,10.000,0.000
105,minicircle,HU+87,MC,520665,45142,307.459,2,10.067,-0.067,10.000,0.000
105,minicircle,HU+87,MC,913100,175084,331.460,2,9.899,0.101,10.000,0.000
105,minicircle,HU+87,MC,40117,225093,299.909,2,10.015,-0.015,10.000,0.000
105,minicircle,HU+87,MC,94293,145101,334.474,3,10.014,-0.014,10.000,0.000
105,minicircle,HU+87,MC,259238,135169,314.146,2,10.048,-0.048,10.000,0.000
105,minicircle,HU+87,MC,87314,170235,323.319,2,10.018,-0.018,10.000,0.000
105,minicircle,HU+87,MC,368047,85145,299.613,2,10.008,-0.008,10.000,0.000
105,minicircle,HU+87,MC,972638,215203,347.518,2,10.024,-0.024,10.000,0.000
105,minicircle,HU+87,MC,689496,165096,319.996,3,9.902,0.098,10.000,0.000
105,minicircle,HU+87,MC,152146,195063,328.106,2,9.951,0.049,10.000,0.000
105,minicircle,HU+87,MC,755950,5038,292.888,2,10.048,-0.048,10.000,0.000
105,minicircle,HU+87,MC,863733,125007,325.636,2,9.964,0.036,10.000,0.000
105,minicircle,HU+87,MC,71238,35007,330.744,2,9.020,-0.020,10.000,0.000
105,minicircle,HU+87,MC,645284,80003,353.171,2,9.837,0.163,10.000,0.000
105,minicircle,HU+87,MC,617514,25003,278.553,2,9.920,0.080,10.000,0.000
105,minicircle,HU+87,MC,897084,140016,309.078,2,9.841,0.159,10.000,0.000
105,minicircle,HU+87,MC,956636,40092,327.503,2,10.020,-0.020,10.000,0.000
105,minicircle,HU+87,MC,785823,210115,312.469,2,9.965,0.035,10.000,0.000
105,minicircle,HU+87,MC,856710,190076,321.304,2,9.995,0.005,10.000,0.000
105,minicircle,HU+87,MC,995779,116,327.716,2,10.094,-0.094,9.000,0.000
105,minicircle,HU+87,MC,91899,205044,308.620,2,9.949,0.051,10.000,0.000
105,minicircle,HU+87,MC,818885,55017,341.188,2,9.918,0.082,10.000,0.000
105,minicircle,HU+87,MC,824430,20228,291.114,3,9.982,0.018,10.000,0.000
105,minicircle,HU+87,MC,352502,10048,301.116,2,9.972,0.028,10.000,0.000
105,minicircle,HU+87,MC,268745,150136,314.993,2,9.866,0.134,10.000,0.000
105,minicircle,HU+87,MC,240082,115030,275.971,2,10.038,-0.038,10.000,0.000
105,minicircle,HU+87,MC,202089,220032,327.146,2,10.133,-0.133,9.000,0.000
105,minicircle,HU+87,MC,405469,30040,333.664,2,9.829,0.171,10.000,0.000
105,minicircle,HU+87,MC,205948,155044,306.137,3,9.988,0.012,10.000,0.000
105,minicircle,HU+87,MC,979637,90044,338.816,2,10.039,-0.039,10.000,0.000
105,minicircle,HU+87,MC,363281,75081,346.899,2,10.112,-0.112,10.000,0.000
105,minicircle,HU+87,MC,318223,110056,315.519,2,9.919,0.081,10.000,0.000
105,minicircle,HU+87,MC,29897,230124,347.103,2,9.085,-0.085,10.000,0.000
105,minicircle,HU+87,MC,731021,95057,294.755,2,9.299,-0.299,9.000,0.000
105,minicircle,HU+87,MC,84546,15093,305.736,2,9.042,-0.042,10.000,0.000
105,minicircle,HU+87,MC,862416,70070,314.501,3,9.937,0.063,10.000,0.000
105,minicircle,HU+87,MC,650868,50060,280.677,2,10.125,-0.125,10.000,0.000
105,minicircle,HU+87,MC,219464,200049,310.898,2,10.045,-0.045,10.000,0.000
105,minicircle,HU+87,MC,70876,105129,325.319,2,9.844,0.156,10.000,0.000
105,minicircle,HU+87,MC,443949,160062,296.078,2,10.044,-0.044,9.000,0.000
105,minicircle,HU+87,MC,239278,60050,323.784,2,9.977,0.023,10.000,0.000
105,minicircle,HU+87,MC,464667,185067,327.095,2,9.822,0.178,10.000,0.000
105,minicircle,HU+87,MC,53504,130099,302.677,2,9.964,0.036,10.000,0.000
105,minicircle,HU+87,MC,883748,100151,300.990,2,9.968,0.032,10.000,0.000
105,minicircle,HU+87,MC,602223,180082,310.643,2,9.932,0.068,10.000,0.000
105,minicircle,HU+87,MC,683976,65145,295.877,2,9.831,0.169,10.000,0.000
105,minicircle,HU+87,MC,405523,45142,313.249,2,9.972,0.028,10.000,0.000
105,minicircle,HU+87,MC,403115,120104,319.626,2,9.988,0.012,10.000,0.000
105,minicircle,HU+87,MC,593059,175084,321.762,2,9.899,0.101,9.000,0.000
105,minicircle,HU+87,MC,262841,235159,306.862,2,10.095,-0.095,10.000,0.000
