N(bp),PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU
100,40.87722256,28.31512533,7.603036321,44.46737468,23.98627533,7.70630649,38.63195475,32.22016703,6.653373966
101,40.34163572,27.35281507,9.361976446,44.90658145,22.71548781,8.795986518,39.41130877,31.1606371,7.471016773
102,40.62755608,25.36408379,10.63182208,45.80311667,22.23554017,8.071360781,39.68216377,29.83360529,8.587380119
103,45.46869712,24.36998091,6.659629558,46.86632429,24.35483758,5.293588573,41.18709699,25.99795194,10.68719845
104,47.06664713,25.3371686,4.981444009,47.25647757,25.32481807,4.776232662,41.92618401,27.58554888,10.02530272
105,47.37928957,26.18455829,4.696398175,47.60226779,26.03098117,4.542309409,42.16859683,30.3290443,7.903999837
106,47.44058535,26.92646138,4.929942106,47.89987483,26.52983522,4.730396968,42.24618599,32.32150543,6.536673642
107,47.45338689,27.5104145,5.341431755,48.23080588,26.70966759,5.167934854,42.20565472,33.22879213,6.279816691
108,47.15158623,28.11057474,6.100119994,48.55207242,26.59898359,5.915489747,42.25723123,33.9180136,6.319559634
109,46.72650585,28.67376355,6.93560552,48.89764605,26.29439573,6.75334384,42.48078709,34.0057907,6.747640533
110,45.92675059,29.20884825,7.905840176,49.27220304,25.54331017,7.787703718,42.82711156,33.86830517,7.068684682
111,45.25083402,29.05559828,9.178996176,49.47053407,24.57971316,8.774195172,43.12948403,33.34791344,7.846963258
112,44.35401418,27.79304648,11.22173167,49.88398791,23.15967861,9.875419663,43.63765147,31.89976574,8.940745338
113,45.46047634,26.16524439,11.09337334,51.05806695,24.32668315,7.331519919,44.33804673,29.40667276,10.45047926
114,50.31619933,26.07841798,6.951466301,51.76728603,26.16134191,5.613683006,45.69048667,26.84928331,11.69284582
115,51.51881529,27.3730443,5.628895587,52.10723132,27.3096121,5.089348842,45.93450815,30.14987142,10.03931081
116,51.82301185,28.37101528,5.425154796,52.44750489,28.00558825,5.052285493,45.85785033,33.68971008,8.011582006
117,51.83645619,29.05405538,5.742051442,52.79740194,28.28450714,5.347552493,45.90273666,34.95587066,7.399577833
118,51.65217561,29.66691277,6.346941561,53.02327682,28.39241503,5.978861618,46.13628836,35.81457785,7.076529674
119,51.32020194,30.21848695,7.062428566,53.38170358,28.15837714,6.709902014,46.37348091,36.07987245,7.221167248
120,50.65188278,30.84613849,7.921470897,53.7126935,27.53517282,7.708446931,46.56744948,36.43037179,7.338783478
121,49.81496745,31.02889042,9.122270024,54.0080038,26.73065801,8.654717741,46.95443054,35.89653302,8.072135953
122,48.90092898,30.3846682,10.64495037,54.29853013,25.30527481,9.878155907,47.26270039,34.97600017,8.887837722
123,48.1877941,28.8264014,12.37520606,54.97496414,24.16668602,10.06029144,47.59092666,33.01507453,10.29662995
124,51.57039664,26.92233995,10.48361143,56.2532604,26.134572,7.139632824,48.97253194,28.94775583,12.11449396
125,55.2423362,27.91701279,7.223904248,56.72013012,28.00905476,5.926146587,50.363754,28.7270791,12.00953775
126,56.19011698,29.04045262,6.351183951,57.13644278,28.89493367,5.59988157,50.45168275,32.70005123,10.09065994
127,56.38935829,30.09178437,6.276929522,57.39649334,29.53594418,5.696881765,49.94230945,35.71807976,8.931836145
128,56.34089054,30.86565621,6.622218407,57.71774833,29.81342918,6.09642795,50.18656505,36.92182495,8.114024903
129,55.90001539,31.72814696,7.250015289,58.02693311,29.79068578,6.713065058,50.17644896,38.14805445,7.895328634
