N(bp),PA1,std_PA1,PA2,std_PA2,PA3,std_PA3,PA1/PA2,std_PA1/PA2,PA1/PA3,std_PA1/PA3,PA2/PA3,std_PA2/PA3
105,47.6579967513,1.86858791066,25.9524782307,2.40990325977,4.49429148588,1.53587745042,1.85461878042,0.208622603684,11.9008047113,4.19729859521,6.46810778417,2.3237878169
106,47.9575668202,1.90245140837,26.4841366906,2.48701998624,4.75672080201,1.60279576936,1.82946900117,0.210430070918,11.2936207144,3.97048408887,6.22611170106,2.22924624238
107,48.2604000177,1.95997629643,26.6402184827,2.55875575154,5.16570838467,1.66977256627,1.8311844283,0.216259030536,10.438853451,3.7252273256,5.76548824159,2.12342918946
108,48.5670254197,1.94516065935,26.5865160866,2.65033732232,5.90851281372,1.83953897538,1.8480849177,0.225811173786,9.16400715327,3.36363748773,5.03233062643,1.93544332119
109,48.9364099845,1.9608095455,26.1748756228,2.75449939211,6.741377479,1.86838681455,1.89353053792,0.239624818773,7.9259487514,2.62588017867,4.26764758033,1.56293168475
110,49.2552101843,1.97497061564,25.4621811778,2.86819744619,7.80775971814,2.02001877118,1.96254248332,0.262098374222,6.82358292544,2.17838048593,3.55575042332,1.29110738793
111,49.5291958926,1.92998893599,24.4675017029,3.08704678546,8.87742940454,1.97974927964,2.06051002919,0.301332906131,5.91726639702,1.62307922894,2.95889484536,1.02177228983
112,49.9016962911,1.95537197232,22.9398899861,3.37825425969,10.0328913069,2.1695400084,2.2285121497,0.37672214323,5.27672967922,1.52058560331,2.45851868291,0.906903549542
113,51.0187773305,1.88704392271,24.2389837396,3.32834778593,7.38339742946,2.89066119249,2.14815836533,0.328663064162,8.17973314989,3.63786906924,3.97310758523,2.01964846541
114,51.6425485887,1.92591800741,26.2116924606,3.12031766766,5.83025847194,2.25234169774,2.00355562838,0.293476980281,10.2606637272,4.17401271254,5.23792996224,2.22725152154
115,52.1625932573,1.94106454162,27.1459244133,2.74373860311,5.13517883156,1.78136255819,1.94411726492,0.234324018013,11.5023319988,4.31781346654,5.97865407554,2.29367928062
116,52.4405797205,2.01239913636,27.8236107734,2.72883335432,5.10259554834,1.80313052585,1.90599309754,0.228268624776,11.6382571488,4.3009215377,6.15856476645,2.30635971171
117,52.7912911184,2.01042393521,28.130842796,2.79056824196,5.38305485524,1.82811605539,1.89817366962,0.228038034118,11.0235546647,3.96807911569,5.86999305859,2.17740260063
118,53.0889281362,2.05350479215,28.3307363308,2.90916945238,5.95014332407,1.96477935814,1.89687269105,0.235250586451,10.0212035258,3.67326072077,5.35715345859,2.06223994467
119,53.4000294949,2.05985944228,28.1202812728,2.96635855634,6.71862731698,2.06621850637,1.92344989504,0.24322321844,8.84616436238,3.20885710054,4.68195162567,1.83316181627
120,53.7216094005,2.06604908954,27.5694639102,3.17273797956,7.67825713657,2.16659710605,1.97838256139,0.270887508227,7.68179316482,2.66583841572,3.97010215052,1.53084408448
121,54.0035975661,2.07946610356,26.5280948467,3.34186193554,8.83978387585,2.2283413015,2.07274531919,0.307475420788,6.60102788701,2.12611301714,3.27609580278,1.2463171607
122,54.3681378885,2.02811352057,25.1175419319,3.73514412395,9.91471722399,2.2709293665,2.21910408342,0.384388598687,5.85793762938,1.78202566317,2.7486368262,1.07831594276
123,55.0723404568,2.12283154478,23.9326174835,4.09342961924,10.1123396318,2.80992216979,2.37892378032,0.477297006169,6.08358631977,2.54084825995,2.69993625733,1.39619733548
124,56.3066942745,2.07005191612,26.075742834,3.90327707564,7.12906458215,2.79959041463,2.21571784991,0.392819157147,9.29697768017,4.06022394596,4.36996795389,2.1373993091
125,56.7531006615,2.12301969806,27.9412711493,3.37995662836,5.97671463384,2.20719884549,2.0658124682,0.298160625415,10.9264659947,4.35252218954,5.39029473107,2.24312463718
126,57.0935143582,2.09647686181,28.7807742448,3.28331801234,5.70233140444,2.16455495096,2.01371227411,0.272835748619,11.5048634378,4.47563839038,5.77948120168,2.27898087934
