N(bp),PA1,std_PA1,PA2,std_PA2,PA3,std_PA3,PA1/PA2,std_PA1/PA2,PA1/PA3,std_PA1/PA3,PA2/PA3,std_PA2/PA3
105,47.5808963976,2.00569697543,26.0061206523,2.47839932473,4.54808310861,1.64598511652,1.84889731146,0.214879279931,11.8207860515,4.2379946932,6.43878972095,2.33407032429
106,47.7873687245,2.18721384993,26.6240566707,2.65051803423,4.82811254496,1.73179079467,1.81606507704,0.224887885077,11.1739919004,4.01568939422,6.2008841571,2.24583318847
107,47.899714967,2.47189333807,27.0264220537,3.0189874193,5.24686438297,1.77855349263,1.79897907249,0.250210048331,10.2660147068,3.75022043781,5.77462601286,2.14153101027
108,47.8566162671,2.8884186299,27.3664020564,3.49536863795,5.98319215254,1.97072061819,1.78393884441,0.287070568129,8.96598271969,3.34632155909,5.12743057502,1.98555473327
109,47.7310527875,3.26154406949,27.6393231543,4.12193671065,6.72445946263,1.97828313025,1.77534126009,0.335534558156,7.77768390063,2.59318563376,4.54044721939,1.73710192471
110,47.5128051222,3.68413522945,27.5904156118,4.67415148982,7.78302799287,2.38103521173,1.78496413998,0.385829738247,6.6937911341,2.19669935109,3.9410453676,1.60225500826
111,47.2500222765,3.95675562041,27.2831883739,5.18488975797,8.7811207386,2.49139488302,1.81298825124,0.44489141474,5.83255737691,1.75551042532,3.45104896793,1.48581466893
112,47.046776219,4.6127519027,25.6869805463,5.22924421736,10.4803134654,3.11289104709,1.93017217158,0.516689182161,4.95708004952,1.73114240897,2.75078927358,1.28416470497
113,49.0520609336,4.44128114,25.0396053362,3.89629258976,8.7193437491,4.00326032437,2.01630497264,0.406424403287,7.14701015115,3.80699706451,3.62026461805,1.98299202799
114,51.2859302263,2.70990252152,26.1760420173,3.14981566636,6.17837799014,2.86893053974,1.99250118511,0.299971833381,9.97573079188,4.32266329186,5.10336729338,2.28284232284
115,52.0137597619,2.21476114001,27.1888484773,2.83140725249,5.27272384859,2.0666602199,1.93680352566,0.241647241327,11.3497998199,4.39736616337,5.91478385371,2.32256640396
116,52.2409683538,2.36977618592,27.9548899453,2.91269036114,5.22232570745,2.0273189308,1.89254475194,0.241945457322,11.4769144553,4.3706173301,6.10770193663,2.32831953277
117,52.3918998776,2.63540714343,28.4950189371,3.22236693843,5.53077642129,2.06946606307,1.86660773981,0.259762527038,10.7927098122,4.04215009804,5.83959404558,2.20842679895
118,52.4260964442,2.97737173552,28.9939254492,3.64858830026,6.10530377726,2.14100637412,1.84290089434,0.287513538172,9.7378231136,3.70285578625,5.36360842529,2.08102253169
119,52.3184133314,3.38117129298,29.3121665222,4.13420533651,6.81047230785,2.20756723856,1.82921827669,0.324983831715,8.60537262751,3.20083011036,4.82815069277,1.92034127805
120,52.066430705,3.85393957022,29.4309294123,4.78084570793,7.76755469495,2.45888815225,1.82851700523,0.379126785579,7.44343982478,2.66761519756,4.23358450204,1.72204905103
121,51.7580085968,4.20992767226,29.2078769158,5.41436742519,8.79641646793,2.5834293497,1.85096619776,0.441975387112,6.44106702139,2.14346359102,3.69472971631,1.56883452905
122,51.5042585226,4.60893575222,28.2961281299,5.95002783053,10.0189547772,2.93624367184,1.92501804536,0.524723748973,5.62991700976,1.87183620545,3.16355884193,1.44569863189
123,51.5527052387,5.44471400782,26.7679762031,5.93477406107,11.0443227786,3.60944048126,2.05115214125,0.607274405927,5.35496763341,2.43907064273,2.79128457574,1.4360070042
124,54.902528895,4.37582374933,26.3109365423,4.16773393369,8.17196794802,3.97573495223,2.14883670856,0.431445696447,8.50083408719,4.30664146358,4.06394651374,2.16552780224
125,56.3549831889,2.93727407076,27.9449872261,3.50546015866,6.33410641971,2.8556463668,2.05278622358,0.308986162457,10.6129037799,4.51028600361,5.25663281149,2.30453607205
126,56.7625608264,2.78743858252,28.8997720406,3.47518182152,5.935108234,2.63903644782,1.99678288518,0.287942350404,11.2721691819,4.58628433409,5.70082286619,2.32424463861
