N(bp),PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU
100,42.21897656,26.91392726,7.499133652,44.47184071,23.9842396,7.704268605,38.62524901,32.21077033,6.659166875
101,42.28251954,26.02331116,8.695324035,44.90658145,22.71548781,8.795986518,39.40049563,31.1753339,7.47016205
102,43.83371961,24.16176355,8.53358254,46.01401604,22.61031577,7.473513123,40.06259692,29.46725911,8.653545982
103,46.70820017,24.4093212,5.551780189,46.93101358,24.41969073,5.303545476,41.98957221,24.52255794,10.79674794
104,47.26090811,24.91512086,4.616142661,47.31040999,24.91306798,4.560014237,42.54330984,26.91247243,9.808802267
105,47.5808964,26.00612065,4.548083109,47.65799675,25.95247823,4.494291486,41.93818234,30.42877812,8.1321937
106,47.78736872,26.62405667,4.828112545,47.95756682,26.48413669,4.756720802,41.83172255,32.23939389,6.755022371
107,47.89971497,27.02642205,5.246864383,48.26040002,26.64021848,5.165708385,42.07723447,33.53455228,6.330339943
108,47.85661627,27.36640206,5.983192153,48.56702542,26.58651609,5.908512814,42.12763242,34.10181769,6.259557533
109,47.73105279,27.63932315,6.724459463,48.93640998,26.17487562,6.741377479,42.47861929,34.2524979,6.465919649
110,47.51280512,27.59041561,7.783027993,49.25521018,25.46218118,7.807759718,42.93176526,34.16352994,6.97155525
111,47.25002228,27.28318837,8.781120739,49.52919589,24.4675017,8.877429405,43.20620166,33.48346353,7.692318368
112,47.04677622,25.68698055,10.48031347,49.90169629,22.93988999,10.03289131,44.08789649,31.39112259,8.918558748
113,49.05206093,25.03960534,8.719343749,51.01877733,24.23898374,7.383397429,44.58571516,29.2929804,10.46446397
114,51.28593023,26.17604202,6.17837799,51.64254859,26.21169246,5.830258472,46.22559571,26.28503347,11.96300874
115,52.01375976,27.18884848,5.272723849,52.16259326,27.14592441,5.135178832,46.73742862,30.028397,10.10070635
116,52.24096835,27.95488995,5.222325707,52.44057972,27.82361077,5.102595548,46.18518021,33.2607885,8.326978296
117,52.39189988,28.49501894,5.530776421,52.79129112,28.1308428,5.383054855,46.2085257,34.88487996,7.359328291
118,52.42609644,28.99392545,6.105303777,53.08892814,28.33073633,5.950143324,45.9191866,35.90882099,7.353088595
119,52.31841333,29.31216652,6.810472308,53.40002949,28.12028127,6.718627317,46.27197066,36.3842458,7.003101352
120,52.06643071,29.43092941,7.767554695,53.7216094,27.56946391,7.678257137,46.58433767,36.33215973,7.546827928
121,51.7580086,29.20787692,8.796416468,54.00359757,26.52809485,8.839783876,46.98070345,35.8700704,8.02674915
122,51.50425852,28.29612813,10.01895478,54.36813789,25.11754193,9.914717224,47.34602409,34.70240665,9.053657671
123,51.55270524,26.7679762,11.04432278,55.07234046,23.93261748,10.11233963,47.35228756,32.91075359,10.54309107
124,54.9025289,26.31093654,8.171967948,56.30669427,26.07574283,7.129064582,49.00546793,29.09588676,12.08118331
125,56.35498319,27.94498723,6.33410642,56.75310066,27.94127115,5.976714634,50.54962651,28.66934335,11.91907246
126,56.76256083,28.89977204,5.935108234,57.09351436,28.78077424,5.702331404,49.9433693,33.63155611,10.01612312
127,57.0085779,29.86613306,5.8216082,57.43466274,29.53671929,5.624861165,49.86182604,36.12953192,8.67890429
128,57.1157977,30.29691205,6.287234828,57.73799222,29.74573408,6.102567775,49.85580891,37.47046281,7.98072209
129,57.0276899,30.69843831,6.992068007,58.04283262,29.6763047,6.83278124,50.01684029,38.29430232,7.749724253
