N(bp),PA1_50bp,PA2_50bp,PA3_50bp,PA1_100bp,PA2_100bp,PA3_100bp,PA1_200bp,PA2_200bp,PA3_200bp
100,44.41961675,24.0245026,7.676006729,44.46737468,23.98627533,7.70630649,44.47184071,23.9842396,7.704268605
101,44.70427477,22.76032604,8.783176723,44.90658145,22.71548781,8.795986518,44.90658145,22.71548781,8.795986518
102,45.79959376,22.27067141,7.925874236,45.80311667,22.23554017,8.071360781,46.01401604,22.61031577,7.473513123
103,46.88251085,24.36497994,5.307533009,46.86632429,24.35483758,5.293588573,46.93101358,24.41969073,5.303545476
104,47.32849204,25.25963028,4.693156489,47.25647757,25.32481807,4.776232662,47.31040999,24.91306798,4.560014237
105,47.66309847,25.96735017,4.487059435,47.60226779,26.03098117,4.542309409,47.65799675,25.95247823,4.494291486
106,48.11274772,26.26829653,4.640892281,47.89987483,26.52983522,4.730396968,47.95756682,26.48413669,4.756720802
107,48.30244376,26.54307889,5.125732216,48.23080588,26.70966759,5.167934854,48.26040002,26.64021848,5.165708385
108,48.60585875,26.59250656,5.787583409,48.55207242,26.59898359,5.915489747,48.56702542,26.58651609,5.908512814
109,48.94925329,26.32207205,6.632793019,48.89764605,26.29439573,6.75334384,48.93640998,26.17487562,6.741377479
110,49.38895004,25.71550886,7.573637728,49.27220304,25.54331017,7.787703718,49.25521018,25.46218118,7.807759718
111,49.52973788,24.77526985,8.637976378,49.47053407,24.57971316,8.774195172,49.52919589,24.4675017,8.877429405
112,49.96179844,23.38689939,9.611287033,49.88398791,23.15967861,9.875419663,49.90169629,22.93988999,10.03289131
113,51.08215839,24.13943679,7.31289295,51.05806695,24.32668315,7.331519919,51.01877733,24.23898374,7.383397429
114,51.72393325,26.25955224,5.564348712,51.76728603,26.16134191,5.613683006,51.64254859,26.21169246,5.830258472
115,52.12221544,27.15320067,5.222845275,52.10723132,27.3096121,5.089348842,52.16259326,27.14592441,5.135178832
116,52.43814477,27.81155623,5.123592212,52.44750489,28.00558825,5.052285493,52.44057972,27.82361077,5.102595548
117,52.81351288,28.1764067,5.34236074,52.79740194,28.28450714,5.347552493,52.79129112,28.1308428,5.383054855
118,53.06955196,28.33243201,5.887667467,53.02327682,28.39241503,5.978861618,53.08892814,28.33073633,5.950143324
119,53.3478435,28.19934569,6.627343434,53.38170358,28.15837714,6.709902014,53.40002949,28.12028127,6.718627317
120,53.58265154,27.93697306,7.497344978,53.7126935,27.53517282,7.708446931,53.7216094,27.56946391,7.678257137
121,53.97995433,27.03910034,8.613924654,54.0080038,26.73065801,8.654717741,54.00359757,26.52809485,8.839783876
122,54.27744607,26.04162521,9.578846951,54.29853013,25.30527481,9.878155907,54.36813789,25.11754193,9.914717224
123,55.04747935,24.12237607,10.07301308,54.97496414,24.16668602,10.06029144,55.07234046,23.93261748,10.11233963
124,56.21064839,26.49300632,7.159057405,56.2532604,26.134572,7.139632824,56.30669427,26.07574283,7.129064582
125,56.73417795,27.93684409,5.992066873,56.72013012,28.00905476,5.926146587,56.75310066,27.94127115,5.976714634
126,57.15230002,28.87353352,5.643720377,57.13644278,28.89493367,5.59988157,57.09351436,28.78077424,5.702331404
127,57.41747563,29.53270242,5.648226694,57.39649334,29.53594418,5.696881765,57.43466274,29.53671929,5.624861165
128,57.76429852,29.60049222,6.079594509,57.71774833,29.81342918,6.09642795,57.73799222,29.74573408,6.102567775
129,58.07055466,29.63614541,6.778710044,58.02693311,29.79068578,6.713065058,58.04283262,29.6763047,6.83278124
